Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
pulicaria,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,25,4,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,860,142761.2,9460.1,860,120831,0,10750.1,0,860,0
pulicaria,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,6,1,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
pulicaria,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,4,1,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
pulicaria,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,5,2,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
pulicaria,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
pulicaria,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,10,8,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.7,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
pulicaria,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
pulicaria,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
retrocurva,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,613,206,404,0,0,0,0,2,1,0,0,0,NA,NA,NA,0,0,0.003262643,0.001631321,0,0,0,NA,NA,NA,125991,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
retrocurva,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,381,92,288,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.002624672,0,0,0,NA,NA,NA,120831,142761.2,9460.1,860,120831,0,10750.1,0,860,0
retrocurva,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,212,44,168,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,67940.6,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
retrocurva,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,230,114,113,0,0,2,0,1,0,0,1,0,NA,NA,NA,0.008695652,0,0.004347826,0,0,0.004347826,0,NA,NA,NA,57333.8,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
retrocurva,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,228,87,125,0,0,9,0,0,2,0,5,0,NA,NA,NA,0.039473684,0,0,0.00877193,0,0.021929825,0,NA,NA,NA,36980.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
retrocurva,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,70,35,31,0,0,2,0,0,2,0,0,0,NA,NA,NA,0.028571429,0,0,0.028571429,0,0,0,NA,NA,NA,4873.4,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
retrocurva,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,213,64,143,0,0,2,0,0,4,0,0,0,NA,NA,NA,0.009389671,0,0,0.018779343,0,0,0,NA,NA,NA,45150.4,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
retrocurva,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,318,128,150,23,0,3,0,2,12,0,0,0,NA,NA,NA,0.009433962,0,0.006289308,0.037735849,0,0,0,NA,NA,NA,52890.4,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
retrocurva,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,448,171,184,75,1,7,0,0,10,0,0,0,NA,NA,NA,0.015625,0,0,0.022321429,0,0,0,NA,NA,NA,92020.7,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
ceriodaphnia,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45994.9,6731,0,31411.1,0,7852.8,0,0,0
dentifera,Bruin,2014,2014204,204,23-Jul-14,7/23/2014,209,17,187,0,0,0,0,2,0,2,0,0,NA,NA,NA,0,0,0.009569378,0,0.009569378,0,0,NA,NA,NA,7151.6,52725.8,7151.6,33234.1,4347.1,0,7993,0,0,0
dentifera,Bruin,2014,2014216,216,4-Aug-14,8/4/2014,224,60,163,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.004464286,0,0,0,0,NA,NA,NA,21034.2,86380.5,21034.2,21595.1,24960.6,0,18790.6,0,0,0
dentifera,Bruin,2014,2014230,230,18-Aug-14,8/18/2014,132,73,59,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,7993,40175.5,7993,6731,7782.7,0,17668.8,0,0,0
dentifera,Bruin,2014,2014245,245,2-Sep-14,9/2/2014,212,109,102,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.004716981,0,0,0,0,NA,NA,NA,20823.9,54899.4,20823.9,6941.3,4837.9,0,22296.3,0,0,0
dentifera,Bruin,2014,2014258,258,15-Sep-14,9/15/2014,173,87,84,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,9535.5,46275.3,9535.5,11218.3,10937.8,560.9,14022.8,0,0,0
dentifera,Bruin,2014,2014272,272,29-Sep-14,9/29/2014,221,62,100,57,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.009049774,0,0,0,NA,NA,NA,12830.9,49220.1,12830.9,1051.7,23558.3,0,11779.2,0,0,0
