line,dose,age,code,rep,Metsch,whiteglobs,ExposureDate,DeathDate,censored,status,Notes
Mid67,low,old,LO1,1,1,0,7/21/2021,8/5/2021,,2,
Mid67,low,old,LO1,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO1,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO1,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO1,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO2,1,0,1,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO2,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO2,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO2,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO2,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO3,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO3,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO3,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO3,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO4,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO4,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO4,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO4,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO4,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO5,1,1,0,7/21/2021,7/29/2021,,2,
Mid67,low,old,LO5,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO5,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO5,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,low,old,LO5,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO1,1,0,1,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO1,2,0,1,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO1,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO1,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO1,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO2,1,0,1,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO2,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO2,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO2,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO2,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO3,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO3,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO3,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO3,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO3,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO4,1,0,1,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO4,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO4,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO4,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO4,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO5,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO5,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO5,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO5,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,old,CO5,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY1,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY1,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY1,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY1,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY1,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY2,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY2,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY2,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY2,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY2,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY3,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY3,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY3,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY3,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY3,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY4,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY4,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY4,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY4,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,HY4,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY1,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY1,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY1,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY1,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY1,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY2,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY2,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY2,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY2,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY2,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY3,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY3,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,high,young,CY3,3,0,0,7/21/2021,8/9/2021,censored,1,
